buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5000.0,5.0,1000.0,110.25258481870394,8.685551367253952,5000,5000.0,115.13373851776123
6000.0,6.0,1000.0,79.30263069440214,11.376112496856912,6000,6000.0,203.0372292995453
7000.0,7.0,1000.0,192.2813312535112,12.261177417150346,7000,7000.0,284.59546518325806
8000.0,8.0,1000.0,111.01991838197569,12.121217725912256,8000,8000.0,367.0954270362854
