buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5000.0,5.0,1000.0,126.49515175207856,26.426865890547262,5000,5000.0,37.84027981758118
6000.0,6.0,1000.0,125.92614742319105,122.04929957101936,6000,6000.0,46.033690214157104
7000.0,7.0,1000.0,167.95904162477603,118.85320018659223,7000,7000.0,54.44743084907532
8000.0,8.0,1000.0,196.46282031957276,135.43107340526373,8000,8000.0,61.831260681152344
9000.0,9.0,1000.0,88.59358618872064,139.06736065334775,9000,9000.0,69.0220205783844
10000.0,10.0,1000.0,198.75641212410244,132.32382473317102,10000,10000.0,76.57923865318298
11000.0,11.0,1000.0,140.66220278092376,37.482590379735015,11000,11000.0,103.25829124450684
12000.0,12.0,1000.0,182.18176541288733,129.7218308615497,12000,12000.0,110.96709394454956
13000.0,13.0,1000.0,196.8716030591825,128.48252307907583,13000,13000.0,118.75025367736816
14000.0,14.0,1000.0,58.69822241916318,120.20926359909167,14000,14000.0,127.06908011436462
15000.0,15.0,1000.0,166.94538803201286,123.06286492763921,15000,15000.0,135.19500827789307
16000.0,16.0,1000.0,252.99992001768737,127.91657003982876,16000,16000.0,143.01260375976562
17000.0,17.0,1000.0,127.85040029366002,128.87931974841777,17000,17000.0,150.7718005180359
18000.0,18.0,1000.0,140.8095719851966,123.83439068152634,18000,18000.0,158.847101688385
19000.0,19.0,1000.0,283.87578185474393,127.127010501009,19000,19000.0,166.71325063705444
20000.0,20.0,1000.0,159.8651174216358,120.29837801125686,20000,20000.0,175.02591466903687
